kills,damage_dealt,placement,healing_used,revives_given,headshots,assists,tier,plus_minus_points,game_type
16,1042,33,433,0,19,3,Gold,50,Duo
1,47,12,25,4,18,8,Platinum,50,Squad
18,191,76,805,0,5,3,Ace,35,Duo
2,1764,26,786,4,13,7,Platinum,50,Squad
15,355,49,812,1,17,3,Ace,50,Duo
5,410,95,786,0,16,7,Gold,31,Duo
17,1209,6,104,0,6,5,Diamond,50,Solo
4,1472,61,564,4,18,7,Gold,32,Duo
11,90,46,549,1,9,9,Gold,50,Duo
16,173,58,168,1,5,9,Platinum,40,Solo
11,196,14,236,2,3,0,Crown,44,Solo
6,1837,54,672,0,1,8,Bronze,8,Squad
18,1579,19,290,0,10,3,Crown,50,Solo
5,434,55,712,2,1,5,Crown,-10,Solo
10,1757,29,839,4,17,4,Platinum,50,Solo
10,185,97,500,0,11,1,Gold,29,Squad
16,1433,54,532,4,2,4,Bronze,40,Squad
12,164,22,443,3,19,6,Gold,50,Squad
4,13,54,40,1,7,8,Crown,3,Duo
19,1251,60,908,0,11,5,Platinum,50,Squad
6,332,78,466,1,13,3,Crown,14,Solo
17,182,32,754,4,16,1,Bronze,50,Solo
2,444,59,940,3,9,6,Platinum,2,Solo
7,1167,66,176,2,2,3,Conqueror,-12,Duo
12,1007,61,776,4,4,7,Ace,19,Duo
8,1914,84,311,3,12,4,Diamond,21,Solo
18,1716,71,247,1,8,1,Bronze,46,Solo
9,1473,30,691,3,15,4,Bronze,50,Duo
2,374,34,299,4,19,4,Diamond,50,Squad
19,1961,16,955,2,18,0,Conqueror,50,Squad
19,1247,7,245,4,7,6,Ace,50,Duo
16,345,3,576,4,9,9,Crown,50,Solo
6,1416,84,312,1,13,1,Crown,13,Squad
7,1555,53,355,2,14,2,Ace,15,Solo
11,1982,2,341,1,18,8,Ace,50,Squad
18,2,37,351,1,11,0,Bronze,50,Solo
10,1361,17,205,1,13,6,Gold,50,Duo
14,1476,47,737,0,14,7,Crown,50,Duo
9,182,100,261,2,2,1,Conqueror,-8,Duo
18,909,87,425,0,0,2,Silver,36,Squad
10,755,62,985,3,3,5,Conqueror,4,Squad
11,310,84,642,3,19,0,Crown,40,Duo
5,1274,74,541,1,6,5,Bronze,11,Squad
11,1758,73,848,3,12,6,Ace,32,Duo
9,1724,94,277,0,3,8,Silver,18,Solo
12,1811,98,485,0,9,3,Crown,26,Duo
8,126,73,185,3,16,8,Silver,45,Duo
11,1636,17,385,2,12,8,Conqueror,50,Duo
16,268,35,14,0,1,7,Bronze,50,Duo
15,1461,84,26,0,12,5,Platinum,50,Squad
7,1492,99,443,4,17,0,Crown,22,Duo
19,1419,56,191,3,6,8,Ace,48,Duo
12,1466,42,496,0,12,8,Diamond,50,Duo
1,1199,13,522,4,16,6,Ace,50,Duo
19,1099,38,588,4,14,8,Diamond,50,Squad
0,738,60,596,1,16,8,Platinum,16,Squad
0,975,18,88,4,7,1,Bronze,30,Solo
2,1658,43,499,0,18,2,Bronze,50,Squad
7,504,67,386,0,9,6,Gold,21,Duo
19,1294,11,83,4,10,8,Platinum,50,Duo
18,1434,91,833,4,16,9,Conqueror,50,Duo
11,649,63,547,0,14,5,Platinum,41,Duo
12,1544,13,190,1,3,2,Silver,50,Solo
15,1030,95,832,4,12,6,Conqueror,38,Solo
11,103,10,249,3,16,6,Gold,50,Squad
7,1938,81,538,2,5,5,Silver,14,Squad
10,1241,86,528,0,13,9,Bronze,50,Squad
6,1823,78,176,1,7,9,Bronze,23,Duo
17,269,91,845,0,5,7,Conqueror,32,Solo
12,850,91,402,4,1,3,Gold,16,Squad
16,657,87,337,3,0,5,Ace,18,Solo
6,1693,93,288,4,18,2,Silver,30,Solo
13,757,16,675,0,3,4,Ace,50,Solo
13,215,94,179,2,8,4,Bronze,43,Squad
7,1769,70,269,2,9,7,Platinum,20,Duo
5,446,62,652,3,3,1,Ace,-14,Solo
3,9,71,568,3,12,8,Platinum,14,Solo
9,881,32,781,0,19,7,Ace,50,Duo
12,1860,95,193,0,12,8,Diamond,47,Squad
11,1671,93,798,2,17,8,Diamond,46,Solo
7,1501,44,319,2,6,7,Diamond,50,Solo
7,358,52,772,2,1,4,Crown,-7,Squad
2,1509,71,8,3,5,1,Platinum,-16,Squad
1,146,64,99,0,18,1,Platinum,10,Duo
4,606,9,987,1,10,6,Platinum,50,Duo
0,1519,21,95,1,19,2,Ace,44,Solo
9,1753,44,771,4,19,1,Crown,50,Duo
14,1944,47,959,4,0,4,Silver,50,Squad
9,188,57,582,1,1,6,Ace,1,Solo
13,1700,73,594,3,8,5,Bronze,38,Solo
18,197,49,169,0,2,2,Diamond,50,Squad
17,315,14,860,1,8,7,Platinum,50,Duo
12,1211,35,381,2,12,5,Bronze,50,Squad
12,1828,7,878,1,9,6,Platinum,50,Squad
4,1334,79,170,1,11,0,Ace,-4,Squad
9,1304,71,339,3,7,2,Platinum,14,Duo
13,1528,48,149,1,6,7,Ace,50,Duo
7,1334,51,391,2,7,5,Platinum,13,Duo
14,542,42,110,1,19,1,Platinum,50,Squad
11,1612,12,961,0,9,3,Bronze,50,Solo
2,783,25,801,0,16,9,Diamond,50,Solo
5,977,39,812,0,4,8,Conqueror,35,Solo
17,1459,86,624,2,11,1,Silver,50,Squad
12,1639,86,179,4,12,3,Conqueror,29,Squad
10,280,3,857,0,16,0,Bronze,50,Solo
2,1497,73,872,3,3,3,Silver,-12,Duo
6,1526,41,515,2,15,9,Gold,50,Duo
16,964,53,81,0,3,4,Diamond,27,Solo
12,1779,17,823,4,9,6,Silver,50,Solo
6,1768,97,376,2,1,4,Silver,-1,Duo
1,291,57,826,3,11,2,Crown,-8,Squad
0,1153,27,381,3,13,3,Ace,34,Solo
10,1237,88,840,0,14,9,Diamond,42,Duo
3,197,8,486,2,6,5,Conqueror,50,Duo
7,1174,36,560,1,13,4,Ace,50,Solo
10,1173,32,779,3,10,6,Ace,50,Solo
12,1352,6,646,4,6,0,Gold,50,Solo
0,449,18,791,1,2,1,Ace,8,Solo
9,452,37,515,0,13,2,Diamond,50,Solo
13,1313,100,86,4,11,6,Ace,33,Solo
12,1991,79,348,0,13,9,Ace,38,Solo
3,603,5,238,3,14,1,Platinum,50,Squad
12,290,82,623,1,3,8,Platinum,25,Duo
15,723,96,114,4,13,0,Silver,50,Squad
9,1086,100,546,0,10,8,Bronze,34,Solo
2,134,83,638,0,15,9,Platinum,22,Squad
12,1393,39,5,4,15,9,Bronze,50,Squad
12,121,40,597,3,11,6,Ace,50,Solo
3,290,49,930,4,6,1,Crown,28,Solo
11,479,19,302,4,14,1,Gold,50,Squad
12,1937,57,394,1,2,3,Crown,10,Duo
14,1970,3,818,1,14,1,Diamond,50,Solo
4,1060,97,26,0,15,7,Gold,26,Duo
2,748,42,786,2,2,3,Ace,18,Solo
12,335,37,290,0,11,0,Crown,50,Squad
12,940,65,752,3,7,5,Crown,25,Duo
9,1843,8,482,1,11,7,Silver,50,Duo
12,1845,81,153,3,16,7,Ace,42,Solo
4,1863,63,67,1,11,7,Gold,16,Solo
3,526,14,330,0,7,4,Bronze,48,Duo
9,295,79,61,0,2,1,Platinum,2,Squad
12,902,15,614,1,2,4,Platinum,50,Duo
19,1555,56,354,2,16,8,Gold,50,Solo
12,543,58,364,0,11,8,Gold,41,Solo
4,78,70,357,2,2,8,Platinum,-3,Solo
12,1044,89,565,1,13,0,Gold,33,Solo
18,442,56,598,3,11,4,Bronze,50,Duo
17,16,76,916,1,3,6,Gold,44,Squad
14,494,2,230,2,2,1,Crown,50,Squad
8,648,74,499,0,0,8,Diamond,3,Duo
9,165,84,637,4,12,4,Bronze,35,Duo
6,131,41,491,4,16,5,Bronze,50,Duo
0,583,42,196,2,17,6,Conqueror,43,Solo
16,816,29,67,2,2,9,Gold,50,Duo
3,346,64,435,2,1,1,Conqueror,-33,Squad
8,1589,82,901,4,13,4,Bronze,31,Solo
16,1621,74,180,0,18,1,Silver,50,Squad
10,640,53,582,3,8,9,Diamond,26,Solo
12,1756,99,648,3,19,0,Bronze,49,Solo
3,21,10,130,1,17,0,Silver,50,Solo
16,85,16,587,3,17,1,Ace,50,Solo
9,1699,82,904,3,5,3,Silver,16,Duo
7,5,55,359,4,6,1,Silver,9,Squad
16,280,67,116,1,16,6,Platinum,50,Squad
15,25,35,384,3,2,5,Gold,50,Solo
1,419,14,265,0,14,2,Silver,50,Squad
1,1846,67,262,0,13,9,Ace,7,Squad
3,1104,31,705,2,6,5,Crown,34,Solo
10,62,64,588,0,9,4,Diamond,21,Solo
10,1707,14,663,3,3,0,Conqueror,43,Squad
16,1971,78,893,0,8,8,Crown,45,Duo
7,1828,77,894,4,9,3,Crown,9,Duo
1,1295,44,4,1,9,9,Ace,41,Duo
3,586,71,422,4,19,2,Diamond,17,Solo
4,1250,69,337,4,12,0,Gold,8,Squad
3,1075,20,398,1,4,6,Bronze,49,Squad
8,1396,58,716,1,0,3,Silver,2,Solo
13,1506,27,89,4,4,3,Conqueror,50,Squad
5,1740,43,874,0,15,6,Conqueror,50,Solo
10,522,75,312,0,9,1,Crown,14,Solo
19,718,2,720,3,3,5,Bronze,50,Squad
1,1319,66,963,2,15,7,Silver,18,Duo
19,1971,40,970,0,13,4,Crown,50,Duo
15,430,70,500,1,8,1,Conqueror,27,Squad
4,229,11,286,4,0,4,Diamond,30,Squad
14,155,44,656,3,2,5,Ace,50,Solo
15,727,5,453,3,14,8,Gold,50,Solo
11,536,34,193,2,16,2,Silver,50,Squad
3,443,10,632,3,0,6,Silver,50,Solo
6,835,85,728,4,16,6,Diamond,26,Solo
1,239,17,22,2,8,3,Bronze,42,Duo
13,153,12,844,1,1,4,Gold,50,Duo
15,1895,12,32,0,16,9,Diamond,50,Solo
6,1486,69,317,0,1,2,Bronze,-2,Solo
18,1045,76,723,3,4,9,Ace,46,Squad
9,1751,32,33,2,3,2,Conqueror,36,Solo
12,1652,97,868,0,4,5,Crown,18,Duo
3,1029,36,271,2,10,6,Diamond,45,Solo
12,987,60,39,1,11,7,Diamond,36,Solo
